NAF rev. 2,BE,CZ,(C1),(C2),(C3),[CI],[CJ],[CK],(C4),[CL1],[CL2],(C5),[CB],[CC],[CE],[CF],[CG],[CH],[CM],DE,[BZ],[DZ],[EZ],FZ,RM040,RM050,RM060,RM070,RM090
_199001,93.39,96.44,86.88,232.95,95.48,75.13,129.32,110.29,93.43,112.92,78.48,99.63,772.38,140.35,67.73,27.77,96.93,136.11,76.36,76.37,140.26,72.14,83.74,120.53,103.21,90.73,113.47,84.62,78.54
_199002,94.92,98.99,92.01,209.73,103.52,88.12,128.41,112.42,92.73,112.95,76.51,100.56,775.46,141.68,67.45,25.11,97.25,136.63,81.67,72.46,138.8,67.73,84.59,120.26,102.91,96.29,116.93,86.43,74.02
_199003,94.45,97.88,91.52,213.41,96.55,76.14,128.47,112.42,92.73,113.82,75.09,100.95,766.36,142.98,67.38,30.39,99.03,136.56,77.39,75.35,137.56,71.07,84.78,122.57,103.49,91.3,116.57,88.82,77.23
_199004,94.92,97.29,92.53,211.24,96.56,76.36,130.18,111.07,90.62,108.46,77.83,100.09,767.78,140.2,65.83,29.09,97.58,135.72,78.58,81.5,133.89,78.22,85.29,121.11,102.27,90.76,118.59,88.49,83.86
_199005,95.21,98.25,95.13,224.64,98.2,79.81,136.14,106.52,88.65,105.94,76.41,100.96,775.81,141.11,65.91,30.05,98.47,136.27,79.38,78.18,137.9,74.17,85.99,122.67,103.46,90.56,119.75,90.52,80.36
_199006,93.8,96.23,91.26,235.84,91.6,67.94,134.29,108.67,89.63,106.59,78.09,100.19,771.42,139.23,64.86,29.59,97.69,137.17,78.22,80.1,136.28,76.4,86.47,121.96,102.75,87.63,119.55,88.02,82.65
_199007,93.84,96.39,91.46,233.56,94.6,74.87,133.92,105.23,88.59,104.76,78.12,99.68,750.72,139.27,65.6,28.12,98.32,135.85,78.69,79.49,127.13,76.22,87.04,118.16,102.32,89.21,117.24,87.3,82.07
_199008,93.35,95.72,93.19,229.34,93.72,74.33,130.98,104.83,85.02,98.69,77.96,99.09,739.2,136.15,65.35,30.03,96.67,133.92,78.77,80.02,133.52,76.41,87.49,121.17,100.81,87.69,116.59,89.04,82.52
_199009,94.07,96.34,89.6,227.45,96.81,76.94,137.12,107,85.26,98.67,78.66,100.11,752.43,137.74,66.42,29.29,98.54,135.02,79.41,81.24,137.66,77.5,88.2,121.56,102.84,88.99,115.93,86.63,83.7
_199010,93.71,96.44,90.64,218.71,94.92,74.3,135.27,106.76,86.69,100.84,79.14,100.39,750.09,139.47,67.18,30.04,98.25,135.72,78.65,78.42,139,74.16,88.95,122.05,102.87,88.83,116.56,87.6,80.47
